id,player,height,weight,college,age,two_points,two_point_percentage,fta,ast,pts,mayor500
377,Jon McGlocklin,185,81,University of Kentucky,31,480,46%,386,272,1280,1
378,Thales McReynolds,185,81,University of Kentucky,32,243,43%,269,127,703,1
379,Ron Reed,185,81,University of Kentucky,33,153,37%,170,132,458,0
380,Jerry Sloan*,185,81,University of Kentucky,33,60,41%,60,45,172,0
381,Willie Somerset,185,81,University of Kentucky,33,93,35%,110,87,286,0
382,Dave Stallworth,185,81,University of Kentucky,34,38,43%,41,30,111,0
383,Joe Strawder,188,83,St. Bonaventure University,24,59,36%,38,60,141,0
384,Bob Warlick,190,95,Michigan State University,24,149,34%,193,69,438,0
385,Jim Washington,185,81,Tennessee State University,24,360,43%,255,322,901,1
386,Bob Weiss,185,81,Tennessee State University,25,208,41%,115,145,486,0
387,Henry Akin,185,81,Tennessee State University,26,121,39%,70,76,287,0
388,Johnny Austin,185,81,Tennessee State University,27,243,40%,184,196,599,1
389,Jim Barnett,185,81,Tennessee State University,27,104,43%,86,83,262,0
390,Dave Bing*,185,81,Tennessee State University,27,139,38%,98,113,337,0
391,John Block,185,81,Tennessee State University,28,187,42%,103,136,440,0
392,Nate Bowman,185,81,Tennessee State University,29,295,42%,234,259,744,1
393,Jerry Chambers,185,81,Tennessee State University,30,76,43%,65,71,191,0
394,Archie Clark,206,102,Prairie View A&M University,23,297,44%,307,85,814,1
395,Freddie Crawford,206,102,Prairie View A&M University,24,287,44%,270,79,774,1
396,Dave Deutsch,206,102,Prairie View A&M University,25,505,48%,477,111,1351,1
397,Hank Finkel,206,102,Prairie View A&M University,26,616,47%,559,125,1656,1
398,Lou Hudson,206,102,Prairie View A&M University,27,328,47%,260,60,853,1
399,Neil Johnson,206,102,Prairie View A&M University,28,639,49%,573,174,1733,1
400,Toby Kimball,206,102,Prairie View A&M University,29,588,47%,506,131,1546,1
401,Clyde Lee,206,102,Prairie View A&M University,35,136,44%,135,74,380,0
402,Bob Love,198,103,University of Kansas,23,66,41%,51,23,164,0
403,Jack Marin,198,103,University of Kansas,24,268,40%,224,181,682,1
404,Bill Melchionni,198,103,University of Kansas,25,362,39%,275,187,910,1
405,Wayne Molis,198,103,University of Kansas,26,377,41%,364,208,1011,1
406,Flynn Robinson,198,103,University of Kansas,27,503,46%,523,222,1373,1
407,Cazzie Russell,198,103,University of Kansas,28,466,46%,484,253,1279,1
408,Dave Schellhase,198,103,University of Kansas,29,351,45%,353,298,941,1
409,Dick Snyder,198,103,University of Kansas,30,443,48%,451,345,1217,1
410,Jim Ware,198,103,University of Kansas,31,382,46%,330,240,975,1
411,Walt Wesley,198,103,University of Kansas,32,379,49%,316,198,980,1
412,Bill Bradley*,198,103,University of Kansas,32,51,38%,44,40,133,0
413,George Carter,198,103,University of Kansas,32,328,51%,272,158,847,1
414,Jim Davis,198,103,University of Kansas,33,333,46%,255,219,845,1
415,Sonny Dove,198,103,University of Kansas,33,47,38%,65,23,140,0
416,Jim Fox,198,103,University of Kansas,33,286,48%,190,196,705,1
417,Walt Frazier*,198,103,University of Kansas,34,216,42%,164,148,548,1
418,Dennis Hamilton,198,103,University of Kansas,35,35,38%,34,31,87,0
419,Clem Haskins,198,103,University of Kansas,35,20,35%,30,27,56,0
420,Phil Jackson*,198,103,University of Kansas,35,15,42%,4,4,31,0
421,Johnny Jones,203,108,Wake Forest University,22,281,47%,238,56,710,1
422,Dave Lattin,203,108,Wake Forest University,23,531,45%,403,83,1350,1
423,George Lehmann,203,108,Wake Forest University,23,0,0%,2,0,1,0
424,Paul Long,203,108,Wake Forest University,23,531,45%,401,83,1349,1
425,Ed Manning,203,108,Wake Forest University,24,145,40%,100,15,358,0
426,Stan McKenzie,203,108,Wake Forest University,25,100,42%,78,26,246,0
427,Jay Miller,203,108,Wake Forest University,26,132,42%,81,33,317,0
428,Earl Monroe*,203,108,Wake Forest University,26,40,45%,21,12,94,0
429,Pat Riley*,203,108,Wake Forest University,26,92,41%,60,21,223,0
430,Bob Rule,203,108,Wake Forest University,27,235,51%,194,53,608,1
431,Al Tucker,203,108,Wake Forest University,27,15,50%,10,5,38,0
432,Jimmy Walker,203,108,Wake Forest University,27,220,51%,184,48,570,1
433,John Wetzel,203,108,Wake Forest University,28,459,45%,339,95,1168,1
434,Ken Wilburn,203,108,Wake Forest University,29,243,47%,211,56,621,1
435,Art Williams,203,108,Wake Forest University,30,86,43%,88,17,243,0
436,Tom Workman,203,108,Wake Forest University,30,15,40%,14,1,41,0
437,Zaid Abdul-Aziz,203,108,Wake Forest University,30,71,44%,74,16,202,0
438,Rick Adelman,193,81,University of Kentucky,26,239,42%,135,142,573,1
439,Tom Boerwinkle,198,99,University of Detroit Mercy,22,406,43%,287,207,1018,1
440,Don Chaney,198,99,University of Detroit Mercy,23,52,39%,43,23,129,0
441,Dick Cunningham,198,99,University of Detroit Mercy,24,508,43%,437,253,1322,1
442,Fred Foster,198,99,University of Detroit Mercy,25,524,41%,378,209,1297,1
443,Gary Gregor,198,99,University of Detroit Mercy,26,531,42%,512,216,1423,1
444,Shaler Halimon,198,99,University of Detroit Mercy,27,573,44%,435,181,1435,1
445,Elvin Hayes*,198,99,University of Detroit Mercy,28,506,44%,328,191,1241,1
446,Bill Hewitt,198,99,University of Detroit Mercy,28,189,45%,130,63,472,0
447,Bill Hosket,198,99,University of Detroit Mercy,28,317,44%,198,128,769,1
448,Bob Kauffman,198,99,University of Detroit Mercy,29,488,45%,256,194,1152,1
449,Stu Lantz,198,99,University of Detroit Mercy,30,523,42%,312,220,1263,1
450,Don May,198,99,University of Detroit Mercy,31,520,43%,265,291,1233,1
451,Otto Moore,198,99,University of Detroit Mercy,32,532,44%,260,259,1258,1
452,Dave Newmark,198,99,University of Detroit Mercy,33,559,46%,217,253,1282,1
453,Rich Niemann,201,85,Purdue University,22,525,51%,522,175,1452,1
454,Barry Orms,201,85,Purdue University,23,604,50%,585,157,1662,1
455,Charlie Paulk,201,85,Purdue University,24,568,49%,424,198,1456,1
456,Bob Quick,201,85,Purdue University,27,394,49%,311,114,1025,1
457,Craig Raymond,201,85,Purdue University,28,264,52%,178,93,658,1
458,Mike Riordan,201,85,Purdue University,29,342,53%,241,106,858,1
459,Dale Schlueter,201,85,Purdue University,30,304,54%,211,113,769,1
460,Greg Smith,201,85,Purdue University,31,295,51%,200,92,746,1
461,John Trapp,201,85,Purdue University,32,161,48%,96,103,386,0
462,Wes Unseld*,203,90,Belmont Abbey College,22,6,50%,5,3,16,0
463,Dwight Waller,208,95,St. John's University,22,222,42%,202,46,577,1
464,Ron Williams,208,95,St. John's University,23,200,42%,170,41,512,1
465,Kareem Abdul-Jabbar*,208,95,St. John's University,24,311,44%,284,49,820,1
466,Lucius Allen,208,95,St. John's University,25,393,42%,256,74,972,1
467,Johnny Baum,208,95,St. John's University,26,496,43%,286,170,1203,1
468,Butch Beard,208,95,St. John's University,27,380,48%,286,158,967,1
469,Fred Carter,208,95,St. John's University,28,229,44%,155,73,575,1
470,Bob Dandridge,208,95,St. John's University,29,194,47%,116,47,474,0
471,Mike Davis,208,95,St. John's University,30,485,44%,261,235,1179,1
472,Herm Gilliam,208,95,St. John's University,31,138,46%,95,46,342,0
473,Lamar Green,208,95,St. John's University,32,421,43%,161,139,971,1
474,Connie Hawkins*,208,95,St. John's University,32,11,28%,5,3,26,0
475,Steve Kuberski,208,95,St. John's University,32,410,44%,156,136,945,1
476,Mike Lynn,208,95,St. John's University,33,326,45%,196,189,799,1
477,Willie McCarter,208,95,St. John's University,34,287,46%,99,117,646,1
478,Steve Mix,208,95,St. John's University,35,61,46%,28,21,139,0
479,Grady O'Malley,190,77,College of the Holy Cross,23,20,39%,15,5,53,0
480,Bud Ogden,190,77,College of the Holy Cross,23,13,50%,8,0,32,0
481,Bob Portman,190,77,College of the Holy Cross,23,7,28%,7,5,21,0
482,Luther Rackley,203,102,Grambling State University,24,301,44%,349,74,827,1
483,Rick Roberson,203,102,Grambling State University,25,107,41%,125,27,298,0
484,Neal Walk,203,102,Grambling State University,26,25,31%,39,2,73,0
485,John Warren,196,92,Ohio State University,22,483,45%,239,179,1140,1
486,Bernie Williams,196,92,Ohio State University,23,640,42%,422,238,1595,1
487,Lee Winfield,196,92,Ohio State University,24,570,40%,316,199,1375,1
488,Don Adams,196,92,Ohio State University,25,530,40%,349,210,1334,1
489,Tiny Archibald*,196,92,Ohio State University,26,684,44%,441,278,1733,1
490,Bob Arnzen,196,92,Ohio State University,27,666,43%,453,384,1700,1
491,Dennis Awtrey,196,92,Ohio State University,28,692,41%,496,441,1771,1
492,Dave Cowens*,196,92,Ohio State University,29,736,46%,578,550,1960,1
493,Terry Driscoll,196,92,Ohio State University,30,892,45%,677,607,2338,1
494,Claude English,196,92,Ohio State University,31,897,46%,549,614,2252,1
495,Greg Fillmore,196,92,Ohio State University,32,766,45%,431,529,1902,1
496,Spencer Haywood*,196,92,Ohio State University,33,685,46%,416,447,1716,1
497,Gar Heard,196,92,Ohio State University,34,642,46%,332,432,1573,1
498,Greg Howard,196,92,Ohio State University,35,504,45%,333,278,1289,1
499,John Hummer,196,92,Ohio State University,36,580,45%,288,400,1395,1
500,George Johnson,196,92,Ohio State University,37,546,45%,269,328,1322,1
501,John Johnson,203,87,University of Kansas,23,192,35%,157,51,489,0
502,Sam Lacey,203,87,University of Kansas,24,393,39%,329,133,1046,1
503,Bob Lanier*,203,87,University of Kansas,25,196,34%,254,54,587,1
504,Pete Maravich*,203,87,University of Kansas,25,136,34%,173,38,405,0
505,Eddie Mast,203,87,University of Kansas,25,60,35%,81,16,182,0
506,Jim McMillian,203,87,University of Kansas,26,63,34%,78,35,183,0
507,Rex Morgan,203,87,University of Kansas,27,195,34%,210,64,543,1
508,Calvin Murphy*,203,87,University of Kansas,27,103,33%,124,36,295,0
509,Curtis Perry,203,87,University of Kansas,27,92,36%,86,28,248,0
510,Geoff Petrie,190,86,St. John's University,22,146,37%,100,104,363,0
511,Mike Price,190,86,St. John's University,23,236,37%,177,182,598,1
512,Paul Ruffner,190,86,St. John's University,23,235,38%,177,182,596,1
513,Mike Silliman,190,86,St. John's University,24,406,42%,281,296,1024,1
514,Garfield Smith,190,86,St. John's University,25,526,42%,358,356,1349,1
515,Fred Taylor,190,86,St. John's University,26,520,40%,412,288,1380,1
516,Joe Thomas,190,86,St. John's University,27,458,41%,392,256,1221,1
517,Rudy Tomjanovich,190,86,St. John's University,28,717,44%,463,384,1806,1
518,Cornell Warner,190,86,St. John's University,29,477,44%,298,292,1207,1
519,Milt Williams,190,86,St. John's University,30,481,40%,331,301,1237,1
520,Fred Brown,190,86,St. John's University,31,341,42%,320,196,945,1
521,Austin Carr,190,86,St. John's University,31,4,24%,8,8,13,0
522,Phil Chenier,190,86,St. John's University,31,337,43%,312,188,932,1
523,Jim Cleamons,190,86,St. John's University,32,169,40%,130,148,445,0
524,Charlie Davis,206,102,University of Utah,23,181,51%,119,38,442,0
525,Ken Durrett,206,102,University of Utah,24,456,49%,282,121,1116,1
526,Dick Gibbs,206,102,University of Utah,24,11,46%,11,0,31,0
527,Clarence Glover,206,102,University of Utah,24,445,49%,271,121,1085,1
528,Mo Layton,206,102,University of Utah,25,21,32%,17,9,55,0
529,Stan Love,206,102,University of Utah,25,14,31%,16,6,40,0
530,Jim McDaniels,206,102,University of Utah,25,7,35%,1,3,15,0
531,Kenny McIntosh,198,95,University of Iowa,22,129,44%,221,72,419,0
532,Cliff Meely,198,95,University of Iowa,23,135,42%,201,76,419,0
533,Dean Meminger,198,95,University of Iowa,24,36,42%,26,24,92,0
534,John Mengelt,198,95,University of Iowa,25,271,44%,326,79,765,1
535,Mike Newlin,198,95,University of Iowa,26,227,45%,190,65,595,1
536,Willie Norwood,198,95,University of Iowa,27,312,49%,268,103,819,1
537,Steve Patterson,198,95,University of Iowa,28,374,49%,259,92,949,1
538,Howard Porter,198,95,University of Iowa,29,461,50%,435,148,1259,1
539,Clifford Ray,198,95,University of Iowa,30,412,47%,426,153,1141,1
540,Jackie Ridgle,198,95,University of Iowa,31,389,48%,452,192,1134,1
541,Curtis Rowe,198,95,University of Iowa,32,309,48%,188,102,777,1
542,Charlie Scott,198,95,University of Iowa,33,364,51%,273,162,943,1
543,Elmore Smith,198,95,University of Iowa,34,423,54%,318,181,1109,1
544,Randy Smith,198,95,University of Iowa,35,175,46%,161,77,477,0
545,Larry Steele,198,92,University of Southern California,22,108,35%,95,30,289,0
546,George Trapp,198,92,University of Southern California,23,154,47%,116,26,395,0
547,Sidney Wicks,198,92,University of Southern California,24,52,34%,50,16,138,0
548,Nate Williams,198,92,University of Southern California,24,49,34%,50,16,132,0
549,Isaiah Wilson,196,95,St. Bonaventure University,24,37,34%,10,18,77,0
550,Dave Wohl,193,97,Morehead State University,28,57,38%,72,21,175,0
551,Henry Bibby,183,83,Thomas More College,22,15,26%,10,27,34,0
552,Freddie Boyd,188,86,Southern Illinois University,22,295,42%,261,252,778,1
553,Steve Bracey,188,86,Southern Illinois University,23,238,44%,148,129,583,1
554,John Brisker,188,86,Southern Illinois University,24,344,42%,242,157,870,1
555,Roger Brown,188,86,Southern Illinois University,25,182,38%,144,140,470,0
556,Corky Calhoun,188,86,Southern Illinois University,25,72,38%,62,36,190,0
557,Dwight Davis,188,86,Southern Illinois University,25,110,39%,82,104,280,0
558,Mickey Davis,188,86,Southern Illinois University,26,85,38%,74,75,220,0
559,Charles Dudley,198,96,Bradley University,22,352,47%,362,83,957,1
560,Scott English,198,96,Bradley University,23,492,44%,464,124,1314,1
561,Chris Ford,198,96,Bradley University,24,377,40%,388,132,1042,1
562,Rowland Garrett,198,96,Bradley University,25,443,45%,468,201,1221,1
563,John Gianelli,198,96,Bradley University,26,561,49%,581,188,1567,1
564,Travis Grant,198,96,Bradley University,27,539,46%,533,157,1465,1
565,Luther Green,198,96,Bradley University,28,554,48%,459,144,1477,1
566,Charles Johnson,198,96,Bradley University,29,596,48%,568,192,1675,1
567,Ollie Johnson,198,96,Bradley University,30,650,47%,559,179,1780,1
568,Manny Leaks,198,96,Bradley University,31,619,51%,568,178,1719,1
569,Russ Lee,198,96,Bradley University,32,597,48%,452,179,1570,1
570,LaRue Martin,198,96,Bradley University,33,572,49%,502,200,1583,1
571,Bob McAdoo*,198,96,Bradley University,34,524,49%,480,169,1461,1
572,Paul McCracken,196,90,Tennessee State University,26,50,45%,35,4,125,0
573,Eric McWilliams,196,90,Tennessee State University,27,215,44%,305,71,650,1
574,Bob Nash,196,90,Tennessee State University,28,94,37%,176,53,312,0
575,Lloyd Neal,196,90,Tennessee State University,29,116,41%,97,25,296,0
576,Kevin Porter,196,90,Tennessee State University,29,115,41%,97,25,294,0
577,Jim Price,196,90,Tennessee State University,30,125,40%,170,51,384,0
578,Mike Ratliff,188,79,University of Texas at Austin,25,71,36%,54,71,184,0
579,Tom Riker,188,79,University of Texas at Austin,26,91,37%,75,68,238,0
580,Ron Riley,190,81,Western Carolina University,23,6,30%,2,6,13,0
581,Frank Schade,188,79,Loyola University of Chicago,23,13,43%,8,6,29,0
582,Bud Stallworth,196,92,Duke University,22,432,43%,422,256,1153,1
583,Chuck Terry,196,92,Duke University,23,114,43%,132,79,316,0
584,John Tschogl,196,92,Duke University,24,18,35%,22,11,50,0
585,Paul Westphal,196,92,Duke University,24,15,35%,17,7,40,0
586,Harthorne Wingo,196,92,Duke University,24,3,33%,5,4,10,0
587,Mike Bantom,206,104,Villanova University,23,102,41%,132,36,285,0
588,Ron Behagen,206,104,Villanova University,24,13,41%,14,12,34,0
589,Dennis Bell,206,104,Villanova University,26,13,42%,13,8,31,0
590,Jim Brewer,198,104,University of Idaho,25,571,43%,319,169,1352,1
591,Allan Bristow,198,104,University of Idaho,26,577,42%,386,270,1415,1
592,John Brown,198,104,University of Idaho,27,273,41%,178,114,677,1
593,Larry Cannon,198,104,University of Idaho,28,620,45%,383,194,1511,1
594,Doug Collins,198,104,University of Idaho,29,482,47%,270,159,1144,1
595,Mike D'Antoni,198,104,University of Idaho,30,359,46%,223,97,878,1
596,Mel Davis,198,104,University of Idaho,31,578,45%,272,264,1353,1
597,Derrek Dickey,198,104,University of Idaho,32,494,45%,290,192,1202,1
598,Ernie DiGregorio,198,104,University of Idaho,33,103,38%,63,51,249,0
599,Steve Downing,198,104,University of Idaho,34,69,38%,36,31,163,0
600,Bernie Fryer,188,79,University of Tulsa,22,84,42%,101,110,234,0
601,Phil Hankinson,188,79,University of Tulsa,23,184,39%,151,178,486,0
602,Nate Hawthorne,188,79,University of Tulsa,24,238,44%,115,223,570,1
603,Tom Ingelsby,188,79,University of Tulsa,25,286,42%,221,240,746,1
604,Dwight Jones,188,79,University of Tulsa,26,340,43%,268,226,897,1
605,Tom Kozelko,188,79,University of Tulsa,27,137,35%,108,123,352,0
606,Kevin Kunnert,188,79,University of Tulsa,28,53,41%,41,52,139,0
607,Larry McNeill,188,79,University of Tulsa,28,19,41%,14,10,49,0
608,Gary Melchionni,188,79,University of Tulsa,28,34,41%,27,42,90,0
609,Louie Nelson,188,79,University of Tulsa,29,100,44%,79,78,264,0
610,Jim Owens,188,79,University of Tulsa,30,162,46%,113,101,413,0
611,Ed Ratleff,188,79,University of Tulsa,31,116,44%,52,81,276,0
612,Bob Verga,196,97,Marquette University,25,203,42%,146,57,488,0
613,Kermit Washington,196,97,Marquette University,26,180,43%,98,63,422,0
614,Slick Watts,196,97,Marquette University,27,182,42%,141,42,440,0
615,Nick Weatherspoon,196,97,Marquette University,28,329,43%,222,70,792,1
616,Luke Witte,196,97,Marquette University,29,530,45%,413,176,1360,1
617,Dan Anderson,196,97,Marquette University,30,687,43%,596,214,1820,1
618,Jim Ard,196,97,Marquette University,31,338,45%,241,78,857,1
619,Gus Bailey,196,97,Marquette University,32,454,45%,320,130,1157,1
620,Leon Benbow,196,97,Marquette University,33,322,47%,237,82,832,1
621,Ken Boyd,196,97,Marquette University,34,276,48%,137,80,658,1
622,Gary Brokaw,196,97,Marquette University,35,400,48%,272,110,1010,1
623,Tom Burleson,196,97,Marquette University,36,46,47%,30,10,112,0
624,Harvey Catchings,203,104,Ohio State University,23,545,53%,398,204,1400,1
625,Jim Chones,203,104,Ohio State University,24,558,50%,366,157,1414,1
